prop_name,iva_count,instance_count,ivas
PanelDivider,16,1505,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
Primitive_BOX_Beveled_Black,16,308,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
MasterAlarm,16,21,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
Lable_ATTITUDE,16,20,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_INPUT_CTRL-SH02-B5,16,20,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_RCS-SH02-B6-C2,16,20,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_sas_ANTINORMAL-FD2-G1,16,20,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_sas_ANTITARGET-FD2-G1,16,20,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_sas_MANEUVER-FD2-G1,16,20,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_sas_NORMAL-FD2-G1,16,20,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
