iva_internal,review_props_total,reference_baseline_props,ignore_static_props,control_no_blackout_props,reuse_electrical_props,special_review_props
DE_cupolaInternal,115,91,8,3,13,0
DE_KV1_ASET_IVA_Internal,130,78,6,17,29,0
DE_KV2_ASET_IVA_Internal,130,78,6,17,29,0
DE_KV3_ASET_IVA_Internal,130,78,6,17,29,0
DE_landerCabinSmallInternal,97,91,4,2,0,0
DE_MEM_ASET_IVA_Internal,135,81,6,19,29,0
DE_MissionControl,91,88,1,1,1,0
DE_Mk1-3,109,89,4,5,11,0
DE_mk1CockpitInternal,105,105,0,0,0,0
DE_mk1InlineInternal,97,94,2,0,1,0
DE_mk1pod_IVA,94,92,1,1,0,0
DE_mk2CockpitStandardInternals,98,91,4,2,1,0
DE_mk2InlineInternal,103,90,2,1,10,0
DE_mk2LanderCanInternal,93,88,3,1,1,0
DE_MK2POD_ASET_IVA_Internal,133,80,6,18,29,0
DE_MK3_Cockpit_Int,109,91,5,2,11,0
